IDCLIENTE,CLIENTE,USUARIOS,EJECUTIVO,TIPO DE DESCUENTO,%DESCUENTO,DIRECCION,ZONA,TIPO DE CLIENTE,GPS CLIENTE,TELEFONO,CORREO,REGFENTE,REDES SOCIALES,ASISTENTE DE FARMACIAS,ENCARGADO DE FARMACIA,priodidad,MES DE ACTIVACION,UNION,ESTATUS,CODIGO DE BRICK,DESCRIPCION IMS 
FV II,FV II,aromagnoli@distrilabve.com,,VOLUMEN,,,Acarigua,EN RUTA,,,,Portuguesa,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3301,
santa cruz,santa cruz,aromagnoli@distrilabve.com,,VOLUMEN,,,Ospino,EN RUTA,,,,Portuguesa,,,,,,7,DATOS DEL CLIENTE INCOMPLETO,3319,
Don manuel,Don manuel,aromagnoli@distrilabve.com,,VOLUMEN,,,Ospino,EN RUTA,,,,Portuguesa,,,,,,7,DATOS DEL CLIENTE INCOMPLETO,3319,
ospinos,ospinos,aromagnoli@distrilabve.com,,VOLUMEN,,,Ospino,EN RUTA,,,,Portuguesa,,,,,,7,DATOS DEL CLIENTE INCOMPLETO,3319,
BOSQUE -FARMATODO - AV LARA A 50 MTS DEL C.C.CHURUM MERU,BOSQUE -FARMATODO - AV LARA A 50 MTS DEL C.C.CHURUM MERU,aromagnoli@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,,,315,
FLORESTA -FARMATODO - AV LIBERTADOR C.C.LA CANDELARIA,FLORESTA -FARMATODO - AV LIBERTADOR C.C.LA CANDELARIA,aromagnoli@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,,,3023,
Royal park,Royal park,aromagnoli@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,,3024,
Full 22,Full 22,aromagnoli@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,DATOS DEL CLIENTE INCOMPLETO,3301,
Farmaignacio bararida,Farmaignacio bararida,aromagnoli@distrilabve.com,,VOLUMEN,,,Barquisimeto,EN RUTA,,,,Lara,,,,,,4,DATOS DEL CLIENTE INCOMPLETO,314,
La popular,La popular,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3301,
Farmalaura,Farmalaura,aromagnoli@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,9,,3301,
Farmafull 21,Farmafull 21,aromagnoli@distrilabve.com,,VOLUMEN,,,Acarigua,EN RUTA,,,,Portuguesa,,,,,,6,DATOS DEL CLIENTE INCOMPLETO,3301,
Mis Ã¡ngeles,Mis Ã¡ngeles,aromagnoli@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,7,,3301,
Alianza sede este,Alianza sede este,aromagnoli@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,7,,3301,
Popular ospinos,Popular ospinos,aromagnoli@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3319,
Mamanico ospinos,Mamanico ospinos,aromagnoli@distrilabve.com,,VOLUMEN,,,Acarigua,EN RUTA,,,,Portuguesa,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3301,
Fsi la 25,Fsi la 25,aromagnoli@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,,317,
Fsi Carlos perez,Fsi Carlos perez,aromagnoli@distrilabve.com,,VOLUMEN,,,Barquisimeto,EN RUTA,,,,Lara,,,,,,,DATOS DEL CLIENTE INCOMPLETO,329,
Farmafull 23,Farmafull 23,aromagnoli@distrilabve.com,,VOLUMEN,,,Acarigua,EN RUTA,,,,Portuguesa,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3301,
Don fernando,Don fernando,aromagnoli@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,7,,3301,
Farmacos acarigua,Farmacos acarigua,aromagnoli@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,,3301,
Farmalydo acarigua,Farmalydo acarigua,aromagnoli@distrilabve.com,,VOLUMEN,,,Acarigua,EN RUTA,,,,Portuguesa,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3301,
Farmacia la bonita,Farmacia la bonita,aromagnoli@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,7,,3301,
Farmatodo enso,Farmatodo enso,aromagnoli@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,,,3024,
Farmatodo jirajara,Farmatodo jirajara,aromagnoli@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,,,314,
Farmaalianza acarigua,Farmaalianza acarigua,aromagnoli@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,,3301,
EXPRESS LA LIMPIA,EXPRESS LA LIMPIA,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,1,,413,
EXPRESS 72,EXPRESS 72,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,2,,402,
EXPRESS NORTE,EXPRESS NORTE,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,DATOS DEL CLIENTE INCOMPLETO,420,
EXPRESS FUERZAS ARMADAS,EXPRESS FUERZAS ARMADAS,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,2,,402,
EXPRESS C2,EXPRESS C2,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,2,,430,
EXPRESS CIUDAD CHINITA,EXPRESS CIUDAD CHINITA,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,1,,408,
EXPRESS CARIBE,EXPRESS CARIBE,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,4,,408,
EXPRESS MILAGRO,EXPRESS MILAGRO,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,4,,412,
FARMA VZLA GRAN BAZAR,FARMA VZLA GRAN BAZAR,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,4,,413,
FARMA VZLA MILAGRO NORTE,FARMA VZLA MILAGRO NORTE,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,4,,419,
FARMA VZLA COROMOTO,FARMA VZLA COROMOTO,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,4019,
FARMA VZLA HATICOS,FARMA VZLA HATICOS,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,5,,409,
EXPRESS SAN FCO,EXPRESS SAN FCO,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,5,,419,
EXPRESS SUR,EXPRESS SUR,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,5,,419,
FARMA VID,FARMA VID,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,427,
CREA DESARROLLO,CREA DESARROLLO,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,5,,430,
FCIA CLARET,FCIA CLARET,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,405,
FCIA CLARIMAR,FCIA CLARIMAR,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,408,
GRAN PROGRESO,GRAN PROGRESO,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,408,
FCIA CINERA,FCIA CINERA,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,412,
FCIA SAN PEDRO,FCIA SAN PEDRO,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,6,DATOS DEL CLIENTE INCOMPLETO,417,
FARMA VZLA CECILIO ACOSTA,FARMA VZLA CECILIO ACOSTA,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,421,
AL KOSTO CENTRO,AL KOSTO CENTRO,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,4013,
AL KOSTO CORMOTO,AL KOSTO CORMOTO,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,DATOS DEL CLIENTE INCOMPLETO,430,
AL KOSCO CABIMAS,AL KOSCO CABIMAS,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,404,
AL KOSTO DELICIAS,AL KOSTO DELICIAS,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
FAMILIA CENTER,FAMILIA CENTER,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,433,
FARMACIA SF,FARMACIA SF,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,4013,
FCIA SAMBA,FCIA SAMBA,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,7,DATOS DEL CLIENTE INCOMPLETO,433,
DIOS EN TI CONFIO 1,DIOS EN TI CONFIO 1,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,403,
DIOS EN TI CONFIO 2,DIOS EN TI CONFIO 2,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,421,
DIOS EN TI CONFIO 3,DIOS EN TI CONFIO 3,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,4019,
DIOS EN TI CONFIO 4,DIOS EN TI CONFIO 4,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,4019,
FCIA UNIVERSAL,FCIA UNIVERSAL,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,402,
GALERIA COMPRE CON MENOS,GALERIA COMPRE CON MENOS,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,418,
OJEDA SALUD,OJEDA SALUD,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,408,
DISTRIBUIDORA POPULAR DEL ZULIA,DISTRIBUIDORA POPULAR DEL ZULIA,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,2,,413,
FCIA ROA,FCIA ROA,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,DATOS DEL CLIENTE INCOMPLETO,439,
GRAN THOMAS,GRAN THOMAS,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,409,
LA POPULAR,LA POPULAR,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,,
SUPERMERCADO EUREKA,SUPERMERCADO EUREKA,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,437,
FARMA LIDER,FARMA LIDER,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,,
FARMA EXPRESS PERIJA,FARMA EXPRESS PERIJA,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,7,DATOS DEL CLIENTE INCOMPLETO,4033,
FARMA HOGAR MACHIQUES,FARMA HOGAR MACHIQUES,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
GLOBALMED,GLOBALMED,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,7,DATOS DEL CLIENTE INCOMPLETO,4033,
FCIA GEMINIS,FCIA GEMINIS,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,4033,
EXPRESS BELLA VISTA,EXPRESS BELLA VISTA,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,10,DATOS DEL CLIENTE INCOMPLETO,413,
EXPRESS INDIO MARA,EXPRESS INDIO MARA,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
CORTIJOS / GRUPO EBENEZER,CORTIJOS / GRUPO EBENEZER,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,DATOS DEL CLIENTE INCOMPLETO,412,
SOL AMADO / GRUPO EBENEZER,SOL AMADO / GRUPO EBENEZER,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,4021,
RENACER / GRUPO EBENEZER,RENACER / GRUPO EBENEZER,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,427,
SOLER / GRUPO EBENEZER,FUNDA BARRIO / GRUPO EBENEZER,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
SAN ISIDRO / GRUPO EBENEZER,SAN ISIDRO / GRUPO EBENEZER,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
VIDA / GRUPO EBENEZER,VIDA / GRUPO EBENEZER,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,,
VITAL / GRUPO EBENEZER,VITAL / GRUPO EBENEZER,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,4,DATOS DEL CLIENTE INCOMPLETO,4019,
GAITERO / GRUPO EBENEZER,GAITERO / GRUPO EBENEZER,ycorreas@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,402,
TRINIDAD C.A,TRINIDAD C.A,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,5201,
CASA MEDICA FARMANILDAS,CASA MEDICA FARMANILDAS,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,5201,
ECONOMICA GENESIS,ECONOMICA GENESIS,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,5201,
FARMANATURA CA,FARMANATURA CA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,5201,
FARMANATURA SUCURSAL,FARMANATURA SUCURSAL,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,5201,
BARINAS IX,BARINAS IX,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,5201,
GRUPO DIVINA PASTORA,MI DIVINA PASTORA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,"8.640368, -70.236204",,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,5201,
FARMANATURA SUC REDOMA,FARMANATURA SUC REDOMA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,5201,
BARINAS VI GUASIMITOS,BARINAS VI GUASIMITOS,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,5201,
FARMAKACTUS,FARMAKACTUS,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,,5201,
BARINAS IV ROSA INES,BARINAS IV ROSA INES,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,5201,
CODAZZI II,CODAZZI II,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,5201,
BARINAS VII HOSPITAL,BARINAS VII HOSPITAL,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,5201,
PAEZ III HOSPITAL,PAEZ III HOSPITAL,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,5201,
SANTA ROSA LOS PINOS,SANTA ROSA LOS PINOS,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,"8.610966, -70.244629",,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,5201,
FARMACIUDAD,FARMACIUDAD,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,"8.622943, -70.204277",,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,5201,
LAS MARIAS HOSPITAL,LAS MARIAS HOSPITAL,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,5201,
GRUPO FARMABIEN,GRUPO FARMABIEN,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,5201,
INSUMOS LA TRINIDAD,INSUMOS LA TRINIDAD,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,5201,
FARMATODO OMEGA,FARMATODO OMEGA,ohurtado@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,,,5201,
NUEVO SIGLO L,NUEVO SIGLO L,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,5201,
NUEVO SIGLO C,NUEVO SIGLO V,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,5,DATOS DEL CLIENTE INCOMPLETO,5201,
BARINAS C CENTRO,BARINAS V CENTRO,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,DATOS DEL CLIENTE INCOMPLETO,5201,
PAEZ I CENTRO,PAEZ I CENTRO,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,5201,
PAEZ I SUC 23 ENERO,PAEZ I SUC 23 ENERO,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,5201,
BARINAS II 23 ENERO,BARINAS II 23 ENERO,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,5201,
MULTIDROGAS,MULTIDROGAS,ohurtado@distrilabve.com,,VOLUMEN,,Av 23 enero,Barinas,EN RUTA,"8.627922, -70.217667",,,Barinas,,,,,,,DATOS DEL CLIENTE INCOMPLETO,5201,
GRUPO FARMATODITO,GRUPO FARMATODITO,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,"8.624946, -70.220485",,,,,,,,,7,DATOS DEL CLIENTE INCOMPLETO,5201,
FARMATODO ALFA,FARMATODO ALFA,ohurtado@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,,,5201,
FARMATOSCANA,FARMATOSCANA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,5201,
SANTA ROSA ALTO BARINAS,SANTA ROSA ALTO BARINAS,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,7,DATOS DEL CLIENTE INCOMPLETO,5201,
VARYNA (SAAS),VARYNA (SAAS),ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,5201,
PAEZ FORUN,PAEZ FORUN,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,5201,
BARINAS III,BARINAS III,ohurtado@distrilabve.com,,VOLUMEN,,CARDENERA,,EN RUTA,"8.620725, -70.215177",,,,,,,,,8,DATOS DEL CLIENTE INCOMPLETO,5201,
TRINIDAD CENTRO,TRINIDAD CENTRO,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,5201,
TRINIDAD DON SAMUEL,TRINIDAD DON SAMUEL,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,5201,
TRINIDAD CIUDAD VARYNA,TRINIDAD CIUDAD VARYNA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,5201,
CUMBRE ANDINAS,CUMBRE ANDINAS,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,8,DATOS DEL CLIENTE INCOMPLETO,5201,
PIE DE MONTE,PIE DE MONTE,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,5201,
LAS AMERICAS,LAS AMERICAS,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,5201,
FARMA CONFORT,FARMA CONFORT,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,9,,5201,
MI DIVINA PASTORA,MI DIVINA PASTORA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,5201,
FARMA MENDEZ,FARMA MENDEZ,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,5214,
LA ESPERANZA,LA ESPERANZA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,5214,
AHORRO PEDRAZA,AHORRO PEDRAZA,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,5214,
LAS REBAJAS (JAVIER CADENAS),LAS REBAJAS (JAVIER CADENAS),ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,5216,
LAS MALVINAS,LAS MALVINAS,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,3,,5216,
LA PRINCIPAL (THAILA DUGARTE),LA PRINCIPAL (THAILA DUGARTE),ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,5216,
FARMACENTER PLUS SOCOPO,FARMACENTER PLUS SOCOPO,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,5216,
PHARMA SALUD SOCOPO,PHARMA SALUD SOCOPO,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,5216,
JOSE KINSLEY VARGAS,JOSE KINSLEY VARGAS,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,7,DATOS DEL CLIENTE INCOMPLETO,5210,
FARMA VIDA PLUS,FARMA VIDA PLUS,ohurtado@distrilabve.com,,VOLUMEN,,Santa barbara,Centro,EN RUTA,"7.816499, -71.182529",,,,,,,,,6,DATOS DEL CLIENTE INCOMPLETO,5210,
FARMACIA NAY,FARMACIA NAY,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,5210,
FARMAGALENOS,FARMAGALENOS,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,5210,
FARMA HOGAR .,FARMA HOGAR .,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,5210,
BENDICION DE DIOS,BENDICION DE DIOS,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,5210,
FARMA ASISTENCIA,FARMA ASISTENCIA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,3310,
FARMANOSTRA GUANARE,FARMANOSTRA GUANARE,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,5,,3310,
LOS YANEZ DE OSPINO,LOS YANEZ DE OSPINO,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,3310,
FCIA LOS LLANOS,FCIA LOS LLANOS,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,3310,
NUEVO SIGLO GUANARE,NUEVO SIGLO GUANARE,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,3310,
FARMA ENERGIA,FARMA ENERGIA,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,8,DATOS DEL CLIENTE INCOMPLETO,3310,
FARMACIA KAPA,FARMACIA KAPA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,3310,
LA AVENDIDA,LA AVENDIDA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,3310,
ELISHEBA,ELISHEBA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,4,,3311,
FARMACIA BISCUCUY,FARMACIA BISCUCUY,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,3311,
DROFARBIS,DROFARBIS,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,3311,
SUBLIME,SUBLIME,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,6,,3311,
MALBRIC,MALBRIC,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,3,,3311,
FARMA UNDA,FARMA UNDA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,3311,
FARMA LOLA,FARMA LOLA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,3311,
SAN RAFAEL,SAN RAFAEL,rfarfan@distrilabve.com,,VOLUMEN,,,Maracay,EN RUTA,,,,Aragua,,,,,,9,DATOS DEL CLIENTE INCOMPLETO,3310,
MUNDO FARMACIA,MUNDO FARMACIA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,5,,3316,
LA LLANERITA DE GUANARITO,LA LLANERITA DE GUANARITO,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,3316,
GUAFARMA,GUAFARMA,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3316,
FARMACIA R&L,FARMACIA R&L,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,3316,
GUAFARMA,GUAFARMA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,3316,
FARMACIA R&L,FARMACIA R&L,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,3316,
FARMATODITO PRINCIPAL M&B,FARMATODITO PRINCIPAL M&B,ohurtado@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,7,DATOS DEL CLIENTE INCOMPLETO,5224,
FARMA MIGA,FARMA MIGA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,"8.620572, -70.203558",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,5201,
FARMACIA LA SALUDABLE,FARMACIA LA SALUDABLE,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,DATOS DEL CLIENTE INCOMPLETO,3310,
DOCTOR FARMA,DOCTOR FARMA,ohurtado@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3310,
